"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0SA00","2019-09-16 00:00:00","466.000","302.000","1.700","21.500","1.000","955.900","-99.000","0.000","-99.000","-99.000","-99.000","29.500","","21.000",""
"C0V730","2019-09-16 00:00:00","33.000","82.000","0.900","26.200","0.990","1004.200","-99.000","7.000","-99.000","-99.000","-99.000","31.700","","25.700",""
"C0G730","2019-09-16 00:00:00","27.000","10.000","1.200","25.600","0.920","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","30.800","","25.500",""
"C0Z300","2019-09-16 00:00:00","182.000","0.000","0.100","23.900","0.990","989.200","-99.000","6.500","-99.000","-99.000","-99.000","32.500","","23.800",""
"C0H9A0","2019-09-16 00:00:00","1595.000","328.000","0.800","17.100","0.970","843.000","-99.000","9.000","-99.000","-99.000","-99.000","25.500","","16.700",""
"C0S840","2019-09-16 00:00:00","22.000","272.000","1.900","24.900","0.920","1006.800","-99.000","0.500","-99.000","-99.000","-99.000","31.000","","24.400",""
"C0Z150","2019-09-16 00:00:00","27.000","242.000","1.700","26.200","0.880","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","24.600",""
"C0W170","2019-09-16 00:00:00","42.000","41.000","5.400","27.300","0.780","1003.800","-99.000","0.000","11.100","39.000","","28.700","","26.000",""
"C0E540","2019-09-16 00:00:00","32.000","39.000","3.800","26.700","0.790","1003.400","-99.000","1.000","-99.000","-99.000","-99.000","30.300","","23.200",""
"C0D660","2019-09-16 00:00:00","65.000","62.000","3.000","26.400","0.780","1000.300","-99.000","13.500","-99.000","-99.000","-99.000","29.100","","24.300",""
"C0U650","2019-09-16 00:00:00","442.000","351.000","1.000","23.900","0.710","960.500","-99.000","1.000","-99.000","-99.000","-99.000","25.600","","22.100",""
"C0G810","2019-09-16 00:00:00","26.000","271.000","0.600","27.300","0.830","1003.000","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","27.300",""
"C0F9Z0","2019-09-16 00:00:00","3193.000","13.000","4.700","9.100","1.000","696.000","-99.000","0.500","-99.000","-99.000","-99.000","13.600","","6.700",""
"C0M410","2019-09-16 00:00:00","245.000","351.000","0.800","23.800","1.000","976.200","-99.000","9.000","-99.000","-99.000","-99.000","31.100","","23.000",""
"C0I410","2019-09-16 00:00:00","180.000","215.000","1.200","24.200","0.930","986.500","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.100",""
"C0K250","2019-09-16 00:00:00","12.000","83.000","0.800","24.400","0.930","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.400",""
"C0AH80","2019-09-16 00:00:00","68.000","63.000","0.900","24.500","0.960","1000.700","-99.000","28.000","-99.000","-99.000","-99.000","27.700","","23.600",""
"C0S920","2019-09-16 00:00:00","98.000","24.000","0.300","24.300","0.910","992.200","-99.000","4.500","-99.000","-99.000","-99.000","31.300","","24.100",""
"C0S830","2019-09-16 00:00:00","288.000","27.000","1.100","25.000","0.890","977.000","-99.000","9.000","-99.000","-99.000","-99.000","33.000","","23.500",""
"C0V800","2019-09-16 00:00:00","256.000","0.000","0.100","25.300","0.900","977.000","-99.000","1.000","-99.000","-99.000","-99.000","31.200","","24.600",""
"C0R140","2019-09-16 00:00:00","740.000","128.000","0.300","20.900","0.950","928.500","-99.000","36.500","-99.000","-99.000","-99.000","28.800","","20.400",""
"C0K410","2019-09-16 00:00:00","20.000","72.000","0.600","26.600","0.830","1003.800","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.600",""
"C0F000","2019-09-16 00:00:00","273.000","55.000","1.200","24.300","1.000","974.800","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","24.300",""
"C0W150","2019-09-16 00:00:00","42.000","58.000","3.400","28.600","0.690","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","28.000",""
"C0AH90","2019-09-16 00:00:00","660.000","0.000","0.000","20.300","0.990","939.200","-99.000","7.000","-99.000","-99.000","-99.000","22.800","","18.000",""
"C0F9K0","2019-09-16 00:00:00","30.000","49.000","2.200","26.100","0.800","1001.700","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","25.200",""
"C0H990","2019-09-16 00:00:00","3076.000","70.000","0.300","9.900","0.880","705.300","-99.000","0.000","-99.000","-99.000","-99.000","14.200","","5.900",""
"C0V260","2019-09-16 00:00:00","126.000","12.000","1.200","25.200","0.990","993.400","-99.000","17.000","-99.000","-99.000","-99.000","33.500","","25.100",""
"C0S970","2019-09-16 00:00:00","19.000","298.000","2.400","26.000","0.830","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","24.900",""
"C0U940","2019-09-16 00:00:00","25.000","273.000","1.500","24.800","0.840","1006.900","-99.000","2.000","-99.000","-99.000","-99.000","28.100","","23.600",""
"C0A860","2019-09-16 00:00:00","362.000","28.000","2.700","23.700","0.980","968.300","-99.000","28.500","-99.000","-99.000","-99.000","25.000","","22.900",""
"C0I480","2019-09-16 00:00:00","2165.000","0.000","0.000","14.100","0.920","786.800","-99.000","0.500","-99.000","-99.000","-99.000","19.200","","12.000",""
